"Route","PagePath","Template","PageDesign","Nav","Workflow","PrimaryRenderings","Notes"
"/","/sitecore/content/capco/capco/Home","App Route","Default","primary","Approved (index, no page WF)","HeroBanner; Promo Expertise; Promo Thinking; InsightsCarousel Home","Hero Video = home-hero.mp4 DAM. Subscribe is not on Home."
"/about-us","/sitecore/content/capco/capco/Home/about-us","App Route","Default","primary","Approved","PageHeading","Our Story. Hidden extras: imprint, accessibility."
"/about-us/expertise-in-action","/sitecore/content/capco/capco/Home/about-us/expertise-in-action","App Route","Default","primary","Approved","CaseStudyGrid","Four case studies; two Europe-tagged."
"/about-us/expertise-in-action/uk-energy-trading-desk","/sitecore/content/capco/capco/Home/about-us/expertise-in-action/uk-energy-trading-desk","App Route","Default","hidden","Approved","PageHeading; Subscribe","Emma energy story"
"/about-us/expertise-in-action/european-tso-flexibility","/sitecore/content/capco/capco/Home/about-us/expertise-in-action/european-tso-flexibility","App Route","Default","hidden","Approved","PageHeading; Subscribe","Europe-tagged"
"/about-us/expertise-in-action/continental-grid-cyber","/sitecore/content/capco/capco/Home/about-us/expertise-in-action/continental-grid-cyber","App Route","Default","hidden","Approved","PageHeading; Subscribe","Europe-tagged"
"/about-us/expertise-in-action/nordic-payments-controls","/sitecore/content/capco/capco/Home/about-us/expertise-in-action/nordic-payments-controls","App Route","Default","hidden","Approved","PageHeading; Subscribe","Payments / Charlotte"
"/about-us/announcements","/sitecore/content/capco/capco/Home/about-us/announcements","App Route","Default","primary","Approved","ArticleListing","Newsroom. Child PressReleasePage items."
"/about-us/announcements/capco-t-plus-1-europe-readiness","/sitecore/content/capco/capco/Home/about-us/announcements/capco-t-plus-1-europe-readiness","PressReleasePage","Default","hidden","Approved","ArticleDetails","Press tied to T+1"
"/about-us/accessibility-statement","/sitecore/content/capco/capco/Home/about-us/accessibility-statement","App Route","Default","hidden","Approved","PageHeading","Reviewed 21 Sep 2026"
"/about-us/imprint","/sitecore/content/capco/capco/Home/about-us/imprint","App Route","Default","hidden","Approved","PageHeading","German obligation"
"/industries","/sitecore/content/capco/capco/Home/industries","App Route","Default","primary","Approved (index)","PageHeading; InsightsCarousel","Expertise index"
"/industries/banking-and-payments","/sitecore/content/capco/capco/Home/industries/banking-and-payments","App Route","Default","primary","Approved","IndustryLanding; InsightsCarousel Banking; Subscribe","Michael / Charlotte story"
"/industries/banking-and-payments/payments","/sitecore/content/capco/capco/Home/industries/banking-and-payments/payments","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Banking sub-page"
"/industries/banking-and-payments/retail-banking","/sitecore/content/capco/capco/Home/industries/banking-and-payments/retail-banking","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Hidden from primary nav"
"/industries/banking-and-payments/commercial-banking","/sitecore/content/capco/capco/Home/industries/banking-and-payments/commercial-banking","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Hidden from primary nav"
"/industries/banking-and-payments/community-banking","/sitecore/content/capco/capco/Home/industries/banking-and-payments/community-banking","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Hidden from primary nav"
"/industries/banking-and-payments/digital-banks","/sitecore/content/capco/capco/Home/industries/banking-and-payments/digital-banks","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Hidden from primary nav"
"/industries/banking-and-payments/digital-business-bank","/sitecore/content/capco/capco/Home/industries/banking-and-payments/digital-business-bank","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Hidden from primary nav"
"/industries/banking-and-payments/instant-payments","/sitecore/content/capco/capco/Home/industries/banking-and-payments/instant-payments","App Route","Default","hidden","Approved","InsightsCarousel Banking; Subscribe","Hidden from primary nav"
"/industries/capital-markets","/sitecore/content/capco/capco/Home/industries/capital-markets","App Route","Default","primary","Approved","IndustryLanding; InsightsCarousel Capital Markets; Subscribe","T+1 / Elisabeth"
"/industries/capital-markets/t-plus-1","/sitecore/content/capco/capco/Home/industries/capital-markets/t-plus-1","App Route","Default","hidden","Approved","InsightsCarousel Capital Markets; Subscribe","T+1 practice page"
"/industries/energy","/sitecore/content/capco/capco/Home/industries/energy","App Route","Default","primary","Approved","IndustryLanding; InsightsCarousel Energy; Subscribe","Emma / agentic AI"
"/industries/energy/uk-energy","/sitecore/content/capco/capco/Home/industries/energy/uk-energy","App Route","Default","primary","Approved","InsightsCarousel UK Energy; Subscribe","UK Energy practice"
"/industries/energy/energy-trading","/sitecore/content/capco/capco/Home/industries/energy/energy-trading","App Route","Default","hidden","Approved","InsightsCarousel Energy; Subscribe","Related to Emma article"
