"Component","Src","JSONRendering","RenderingId","OnHeadlessMain","BoundTo","KeyFields","Notes"
"Header","src/components/header/Header.tsx","yes","c4c00001-…000001","no","partial headless-header","Logo; BrandName","Logo = DAM capco-horizontal.png. Search overlay is lib."
"Footer","src/components/footer/Footer.tsx","yes","c4c00001-…000002","no","partial headless-footer","Logo; CopyrightText","Logo = DAM capco-secondary-awc.png"
"HeroBanner","src/components/hero-banner/HeroBanner.tsx","yes","c4c00001-…000003","yes","page layout","Title; Description; Image; Video; CtaLink; Width; Height","Video = DAM MP4; Image is poster. Variants Campaign/Article/Industry."
"Promo","src/components/promo/Promo.tsx","yes","c4c00001-…000004","yes","page layout","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Home Expertise + Thinking"
"PeopleSearch","src/components/people-search/PeopleSearch.tsx","yes","c4c00001-…000005","yes","/people","page children + catalog","Only Elisabeth Charlotte Anne-Marie Marina"
"PersonProfile","src/components/person-profile/PersonProfile.tsx","yes","c4c00001-…000006","no","Person pages","Title; JobTitle; Photo; Biography; Specialisms","Embeds insights + events from people-catalog / events-catalog"
"ArticleDetails","src/components/article-details/ArticleDetails.tsx","yes","c4c00001-…000007","no","Article / press pages","re-exports NewsArticle","Byline authors related AEO whitepaper"
"StoryHeard","src/components/story-heard/StoryHeard.tsx","yes","c4c00001-…000008","no","/what-we-heard","","Presenter surface"
"StoryBoard","src/components/story-board/StoryBoard.tsx","yes","c4c00001-…000009","no","/story","","Presenter surface — 19 beats"
"ArticleListing","src/components/article-listing/ArticleListing.tsx","yes","c4c00001-…00000a","yes","/perspectives / announcements","children resolver","Faceted by taxonomy"
"PageHeading","src/components/page-heading/PageHeading.tsx","yes","c4c00001-…00000b","yes","listings / legal pages","Title; Content","Events listing heading"
"SiteSearch","src/components/site-search/SiteSearch.tsx","yes","c4c00001-…00000c","yes","/search","q; facets; suggested keywords","scapco-search: lime chips, B&W DAM cards, sort=relevance"
"InfographicBlock","src/components/infographic-block/InfographicBlock.tsx","yes","c4c00001-…000013","yes","campaign","","Add palette"
"MediaEmbed","src/components/media-embed/MediaEmbed.tsx","yes","c4c00001-…000014","yes","article extras","VideoUrl; PodcastUrl; Transcript","Not the home hero — that is HeroBanner.Video"
"JobListing","src/components/job-listing/JobListing.tsx","yes","c4c00001-…000015","yes","/careers","","Join Us"
"InsightsCarousel","src/components/insights-carousel/InsightsCarousel.tsx","yes","c4c00001-…000016","yes","Home + industries + articles","Items treelist","Home variant = Perspectives band. ?broken=1 empties alt."
"Subscribe","src/components/subscribe/Subscribe.tsx","yes","c4c00001-…000017","yes","Perspectives / industries / articles — not Home","Heading; Cta","Moved off Home. Aligns in pm-wrap."
"IndustryLanding","src/components/industry-landing/IndustryLanding.tsx","yes","c4c00001-…000018","yes","industry landings","Title; Intro; Image","Hero + expertise + success"
"StatBlock","src/components/stat-block/StatBlock.tsx","yes","c4c00001-…000019","yes","/ai","metrics",""," "
"CaseStudyGrid","src/components/case-study-grid/CaseStudyGrid.tsx","yes","c4c00001-…00001a","yes","/about-us/expertise-in-action","Items",""," "
"ComparisonBlock","src/components/comparison-block/ComparisonBlock.tsx","yes","c4c00001-…00001b","yes","/ai","before/after","Ceros replacement"
"PublicationCard","src/components/publication-card/PublicationCard.tsx","yes","c4c00001-…00001c","yes","/capco-institute","HTML vs PDF",""," "
"EnquiryForm","src/components/enquiry-form/EnquiryForm.tsx","yes","c4c00001-…00001d","yes","/contact","HubSpotFormId",""," "
"PreferenceCentre","src/components/preference-centre/PreferenceCentre.tsx","yes","c4c00001-…00001e","yes","/preferences","industry topic region",""," "
"CampaignLanding","src/components/campaign-landing/CampaignLanding.tsx","yes","c4c00001-…00001f","yes","/ai*","","Payments DS Awaiting Approval"
"EventListing","src/components/event-listing/EventListing.tsx","yes","c4c00001-…000020","yes","/events","children + catalog","events-catalog.ts fallback"
"EventDetail","src/components/event-detail/EventDetail.tsx","yes","c4c00001-…000021","yes","/events/*","context + catalog","Transparent breadcrumb; .pm-event__speakers list-none"
"TaxonomyBubbles","src/components/taxonomy-bubbles/TaxonomyBubbles.tsx","yes","c4c00001-…000022","yes","article / industry extras","page tags + taxonomy.ts","3D orbit. Emma article has full tag set."
"Title / RichText / Image / PageContent","src/components/{title,rich-text,image,page-content}","OOTB","","yes","any","","Page Content group first on palette"
"Container / ColumnSplitter / RowSplitter","src/components/{container,column-splitter,row-splitter}","OOTB","","yes","any","","Page Structure group"
"Navigation / LinkList","src/components/{navigation,link-list}","OOTB","","yes","any","","Navigation group"
"HomeExpertise","src/components/home-expertise/HomeExpertise.tsx","host only","","no","","catalog","Legal clone leftover — Home uses Promo + InsightsCarousel"
"OutLawHome","src/components/out-law-home","host only","","no","","","Legal leftover — do not add to palette"
"PressReleases / NewsArticle","src/components/{press-releases,news-article}","NewsArticle via ArticleDetails","","no","articles",""," "
"PersonBreadcrumb / PersonQuote / PersonExperience / PersonInsights / PersonRelated","src/components/person-*","host leftovers","","no","","","Not on Capco page design. Insights live inside PersonProfile."
"HeaderSearch","src/lib/HeaderSearch.tsx","no","","no","Header","","Must stay in src/lib/ — generate-map would register it"
"RegionSelector","src/lib/RegionSelector.tsx","no","","no","Header",""," "
"PageTrail","src/lib or layout","no","","no","layout","","Hidden on / and /events"
"Demo auth / CDP / chatbot","src/components/demo; cdp-profile-panel; ai-chatbot","no","","no","_app.tsx","","Not Pages renderings"
"AEO analyser / Mini CMS / email / campaigns / integrations","n/a","no","","no","slides / marketplace","","Do not rebuild as Capco host pages"
